Customer_ID,Age,Gender,Category,Rating,Feedback
C0001,58,Female,Customer Support,5,Very satisfied with the service. Everything was smooth.
C0002,32,Female,Service Quality,2,Customer support was slow and unhelpful.
C0003,23,Other,Website/App,1,I had a bad experience and would not recommend this service.
C0004,31,Female,Billing,4,Excellent customer support and a very good experience.
C0005,30,Other,Service Quality,4,Amazing service and very easy to use.
C0006,32,Male,Billing,3,The service was okay and met my basic expectations.
C0007,28,Other,Website/App,3,The product arrived as expected.
C0008,31,Male,Customer Support,2,I had a bad experience and would not recommend this service.
C0009,40,Male,Billing,3,The service was okay and met my basic expectations.
C0010,47,Other,Customer Support,5,Amazing service and very easy to use.
C0011,23,Other,Delivery,5,I am happy with the service and would use it again.
C0012,41,Other,Product Quality,4,The service was excellent and the staff were very helpful.
C0013,60,Female,Delivery,5,Very satisfied with the service. Everything was smooth.
C0014,24,Male,Delivery,4,I loved the overall experience. The process was simple.
C0015,28,Male,Delivery,3,The support team answered my question.
C0016,59,Female,Billing,4,Excellent customer support and a very good experience.
C0017,33,Female,Website/App,3,The service worked as expected.
C0018,32,Other,Delivery,5,The service was excellent and the staff were very helpful.
C0019,32,Female,Delivery,4,I had a great experience and would definitely recommend this service.
C0020,31,Other,Service Quality,3,My experience was neither very good nor very bad.
C0021,43,Other,Website/App,2,The product quality was poor and delivery was very late.
C0022,33,Other,Billing,4,I am happy with the service and would use it again.
C0023,45,Other,Website/App,3,The product arrived as expected.
C0024,50,Male,Customer Support,5,I had a great experience and would definitely recommend this service.
C0025,27,Other,Product Quality,5,Amazing service and very easy to use.
C0026,56,Female,Website/App,3,My experience was neither very good nor very bad.
C0027,51,Male,Billing,5,The service was excellent and the staff were very helpful.
C0028,25,Other,Billing,5,I loved the overall experience. The process was simple.
C0029,25,Male,Website/App,2,The service was disappointing and the staff were not helpful.
C0030,34,Other,Product Quality,4,
C0031,58,Male,Service Quality,4,Very satisfied with the service. Everything was smooth.
C0032,27,Male,Product Quality,4,Excellent customer support and a very good experience.
C0033,18,Other,Delivery,4,I had a great experience and would definitely recommend this service.
C0034,41,Male,Product Quality,1,I am unhappy with the service and would not use it again.
C0035,23,Female,Service Quality,4,I had a great experience and would definitely recommend this service.
C0036,52,Female,Product Quality,4,Excellent customer support and a very good experience.
C0037,28,Male,Billing,5,Amazing service and very easy to use.
